username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase2,Tue Nov  7 00:39:19 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"angular,",0.06779661016949153,93.22033898305084,9,90,77.78%,"1,1,1,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,6,1.3333333333333335,81.48%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",18,197.59715057725376,81.48%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase2,Tue Nov  7 00:39:19 2017,1,3,"Neighborhood Names GIS, Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"d3,jquery,",0.01141552511415525,98.85844748858447,9,90,85.19%,"1,1,1,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"2.0,0.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,9,2.0,92.59%,"1.0,1.0,1.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;",22,208.24975183641058,85.19%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,1,0,0,1,1,"bootstrap,d3,",0.026785714285714284,97.32142857142857,6,60,40.74%,"0,1,0,1,1,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.391304347826086,77.78%,0,0.0,0.0%,,10,174.71273291925465,48.15%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,1,1,1,1,"three,",0.02564102564102564,97.43589743589743,6,60,44.44%,"0,0,0,1,0,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,33.33%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,33.33%,0,0.0,0.0%,,8,166.13154960981046,33.33%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase2,Tue Nov  7 00:39:19 2017,1,8,"New York State Career Centers, Fire Department Directory for New York State, Air Quality, Required Weather API, New York City Museums, Zillow Home Value Searching API, New York City Farmers Markets, School Safety Report, ",1,1,1,1,1,1,1,1,"d3,materialize,jquery,",0.006153846153846154,99.38461538461539,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,88.89%,"2.0,0.0,1.0,0.0,0.0,1.0,",5,21.73913043478261,88.89%,16,3.5555555555555554,96.3%,"3.0,0.0,0.0,;1.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;",31,224.67930137495352,96.3%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.041666666666666664,95.83333333333334,7,70,55.56%,"0,1,1,1,1,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,10,178.8768115942029,59.26%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,1,1,1,1,"d3,jquery,",0.08125,91.875,9,90,74.07%,"0,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,12,194.91847826086956,74.07%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,1,1,1,0,,0.07567567567567568,92.43243243243244,5,50,29.63%,"0,0,0,1,0,1,1,1,0,",4,80,96.3%,"1.0,1.0,1.0,0.0,1.0,",4,22.22222222222222,88.89%,"1.0,1.0,1.0,1.0,0.0,0.0,",8,34.78260869565217,96.3%,0,0.0,0.0%,,13,177.21504112808464,55.56%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"animate,font-awesome,",0.00975609756097561,99.02439024390245,7,70,66.67%,"1,1,1,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",13,182.73453517143867,66.67%
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,0,1,1,1,0,,0.03896103896103896,96.1038961038961,7,70,59.26%,"0,1,1,1,0,1,1,1,0,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,10,179.14737436476565,62.96%
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,1,1,1,1,0,,0.05325443786982249,94.67455621301775,7,70,51.85%,"0,1,0,1,1,1,1,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,33.33%,0,0.0,0.0%,,9,173.37020838693078,44.44%
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,0,0,0,1,1,"bootstrap,d3,three,react,jquery,",0.0,100.0,6,60,48.15%,"0,1,1,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,9,173.04347826086956,40.74%
matson3,honors0,IH-Project-2017-matson3_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",0,0,1,0,0,0,1,1,"jquery,",0.0,100.0,5,50,37.04%,"1,0,0,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,29.63%,5,1.1111111111111112,77.78%,"3.0,1.0,1.0,;",11,155.45893719806764,29.63%
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,0,1,1,1,0,,0.20238095238095238,79.76190476190477,6,60,25.93%,"0,1,0,1,0,1,1,1,0,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,9,152.80538302277432,25.93%
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,0,,0.07920792079207921,92.07920792079209,8,80,70.37%,"1,1,1,1,0,1,1,1,0,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",14,185.78935284832832,70.37%
shivans,honors0,IH-Project-2017-shivans_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
hihms,honors0,IH-Project-2017-hihms_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Required Weather API, ",0,1,1,0,0,0,1,1,"bootstrap,d3,jquery,",0.01584507042253521,98.41549295774648,5,50,33.33%,"0,0,1,1,0,0,0,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",5,27.77777777777778,96.3%,"2.0,0.0,2.0,1.0,0.0,0.0,",6,26.08695652173913,92.59%,6,1.3333333333333335,81.48%,"3.0,2.0,1.0,;",17,175.83578281281896,51.85%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,0,1,0,1,1,1,1,"materialize,jquery,",0.027522935779816515,97.24770642201834,7,70,62.96%,"0,1,0,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,7,167.24770642201833,37.04%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase2,Tue Nov  7 00:39:19 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,",0.034013605442176874,96.5986394557823,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,3,0.6666666666666667,66.67%,"3.0,0.0,0.0,;",16,210.3087843833185,88.89%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
ko68,honors0,IH-Project-2017-ko68_webapp_phase2,Tue Nov  7 00:39:19 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.005625879043600563,99.43741209563994,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,0.0,2.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,6,1.3333333333333335,81.48%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",20,218.1620497767994,92.59%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.05982905982905983,94.01709401709401,9,90,81.48%,"0,1,1,1,1,1,1,1,1,",1,20,33.33%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,37.04%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,40.74%,0,0.0,0.0%,,12,197.06057227796356,77.78%
jmhunter4711,honors0,IH-Project-2017-jmhunter4711_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.010033444816053512,98.99665551839465,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",15,202.70680044593087,88.89%
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,0,0,0,0,0,0,,0.0,100.0,1,10,0.0%,"0,0,0,0,0,0,0,0,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,1,110.0,0.0%
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase2,Tue Nov  7 00:39:19 2017,0,1,"Zillow Home Value Searching API, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,",0.05,95.0,7,70,70.37%,"0,0,1,1,0,1,1,1,1,",1,20,74.07%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,74.07%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,74.07%,3,0.6666666666666667,81.48%,"3.0,0.0,0.0,;",13,178.71014492753622,74.07%
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase2,Tue Nov  7 00:39:19 2017,0,0,,1,1,1,0,1,1,1,1,"bootstrap,react,",0.01639344262295082,98.36065573770492,8,80,81.48%,"0,1,1,1,0,1,1,1,1,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,8,178.36065573770492,70.37%
