username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"angular,d3,jquery,bootstrap,"
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"react,jquery,d3,"
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"animate,d3,jquery,bootstrap,"
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,"
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase4,Fri Nov 17 12:12:48 2017,1,8,"Zillow Home Value Searching API, Required Weather API, New York neighborhood, New York State Career Centers, Air Quality, New York museum, New York Safety, New York City Farmers Markets, ",1,1,1,0,1,1,1,1,"jquery,materialize,d3,"
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,"
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,bootstrap,"
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Required Weather API, New York neighborhood, ",1,1,1,0,0,0,1,1,"font-awesome,animate,"
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,"
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase4,Fri Nov 17 12:12:48 2017,1,3,"Required Weather API, Zillow Home Value Searching API, New York City Farmers Markets, ",1,1,1,1,1,1,1,1,"jquery,materialize,animate,"
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"Neighborhood Tabulation Areas, Housing New York Units by Building, Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976, ",1,1,1,0,1,1,1,1,"three,react,bootstrap,jquery,d3,"
matson3,honors0,IH-Project-2017-matson3_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"vue,d3,jquery,bootstrap,"
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,"
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,1,1,1,1,1,"jquery,d3,"
shivans,honors0,IH-Project-2017-shivans_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase4,Fri Nov 17 12:12:48 2017,1,5,"New York museum, Alternative Fuel Stations in New York, Zillow Home Value Searching API, Required Weather API, New York neighborhood, ",1,1,1,1,0,0,1,1,"jquery,d3,"
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
hihms,honors0,IH-Project-2017-hihms_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Required Weather API, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,d3,"
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Open.ny.gov API Catalog, ",1,1,1,0,1,1,1,1,"react,jquery,materialize,d3,"
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,d3,"
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
ko68,honors0,IH-Project-2017-ko68_webapp_phase4,Fri Nov 17 12:12:48 2017,1,4,"Housing New York Units by Building, Total Housing Units By Occupancy Status And Tenure By Borough, New York City Leading Causes of Death, Required Weather API, ",1,1,1,1,1,1,1,1,"d3,jquery,bootstrap,"
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase4,Fri Nov 17 12:12:48 2017,1,8,"Required Weather API, School Safety Report, New York State Career Centers, Air Quality, New York neighborhood, New York City Museums, New York Safety, New York City Farmers Markets, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,"
gshowal,honors0,IH-Project-2017-gshowal_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,"
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase4,Fri Nov 17 12:12:48 2017,0,4,"Fire Department Directory for New York State, New York City Art Galleries, New York City Museums, Bank-Owned ATM Locations in New York State, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,"
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase4,Fri Nov 17 12:12:48 2017,0,4,"New York City Museums, NYCHA Development Data Book, Housing New York Units by Building, NYC City Hall Library Catalog, ",1,0,1,0,0,0,1,1,"d3,jquery,bootstrap,"
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,0,0,0,0,0,0,
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,1,"d3,jquery,bootstrap,"
dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,d3,"
SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"jquery,bootstrap,"
olimita,unal0,IH-Project-2017-olimita_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"New York City Museums, New York Safety, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,"
yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase4,Fri Nov 17 12:12:48 2017,0,4,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, NYCHA Development Data Book, ",0,1,1,0,0,0,1,1,"d3,jquery,bootstrap,"
Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,0,0,1,1,"jquery,bootstrap,"
Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,0,
vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
biherrerap,unal0,IH-Project-2017-biherrerap_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
bfprietoc,unal0,IH-Project-2017-bfprietoc_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Fire Department Directory for New York State, ",0,1,1,0,0,0,1,1,"font-awesome,jquery,bootstrap,"
Acreed21,unal0,IH-Project-2017-Acreed21_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,bootstrap,"
Camiioo,unal0,IH-Project-2017-Camiioo_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
frnkbs,unal0,IH-Project-2017-frnkbs_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,1,1,1,1,"d3,bootstrap,"
Jfcastroh,unal0,IH-Project-2017-Jfcastroh_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,1,"animate,jquery,bootstrap,"
evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase4,Fri Nov 17 12:12:48 2017,0,2,"New York City Art Galleries, New York City Museums, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,animate,"
JulianM96,unal1,IH-Project-2017-JulianM96_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"jquery,bootstrap,"
Saariasba,unal1,IH-Project-2017-Saariasba_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
tres-iqus,unal1,IH-Project-2017-tres-iqus_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,0,0,0,0,0,0,
cglaitong,unal1,IH-Project-2017-cglaitong_webapp_phase4,Fri Nov 17 12:12:48 2017,1,7,"Required Weather API, New York State Career Centers, New York City Museums, NYCHA Development Data Book, Directory Of DCP Offices, New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, ",1,1,1,0,1,1,1,1,"bootstrap,jquery,d3,"
DaniCastel,unal1,IH-Project-2017-DaniCastel_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Fire Department Directory for New York State, ",1,1,1,0,1,1,1,1,"d3,jquery,bootstrap,"
BrandonAvilanR,unal1,IH-Project-2017-BrandonAvilanR_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
alejosaur,unal1,IH-Project-2017-alejosaur_webapp_phase4,Fri Nov 17 12:12:48 2017,1,6,"Bicycle Routes Across New York State: Map, Required Weather API, New York City Museums, Housing New York Units by Building, New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, ",1,1,1,1,0,0,1,1,"animate,bootstrap,jquery,d3,"
jaasuarezvi,unal1,IH-Project-2017-jaasuarezvi_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
jdsolanos,unal1,IH-Project-2017-jdsolanos_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,1,"jquery,bootstrap,"
DavidsMartinez,unal1,IH-Project-2017-DavidsMartinez_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Biopeligro,unal1,IH-Project-2017-Biopeligro_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
garayf,unal1,IH-Project-2017-garayf_webapp_phase4,Fri Nov 17 12:12:48 2017,0,2,"New York City Art Galleries, New York City Museums, ",1,1,1,0,0,0,1,1,"jquery,bootstrap,"
jaleonro,unal1,IH-Project-2017-jaleonro_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,bootstrap,"
facuellarg,unal1,IH-Project-2017-facuellarg_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Caadiazsi,unal1,IH-Project-2017-Caadiazsi_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
sebcamacho1703,unal1,IH-Project-2017-sebcamacho1703_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"New York City Museums, Required Weather API, ",1,1,1,0,0,0,1,1,"d3,jquery,bootstrap,"
xFortich,unal1,IH-Project-2017-xFortich_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"New York City Museums, New York City Art Galleries, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,animate,"
Gusgal03,unal1,IH-Project-2017-Gusgal03_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
Juankmilo97,unal1,IH-Project-2017-Juankmilo97_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,1,1,0,0,0,1,1,"jquery,bootstrap,"
alebautis,unal1,IH-Project-2017-alebautis_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
sarguellesr,unal1,IH-Project-2017-sarguellesr_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
davideperdomo,unal1,IH-Project-2017-davideperdomo_webapp_phase4,Fri Nov 17 12:12:48 2017,1,7,"Bank-Owned ATM Locations in New York State, Required Weather API, Air Quality, New York City Museums, Neighborhood Tabulation Areas, NYCHA Development Data Book, New York City Art Galleries, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,d3,"
JamerMejiaGarcia,unal1,IH-Project-2017-JamerMejiaGarcia_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
nikolasto,unal1,IH-Project-2017-nikolasto_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
gahormigag,unal1,IH-Project-2017-gahormigag_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
ayperezc,unal1,IH-Project-2017-ayperezc_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, ",1,1,1,0,0,0,1,1,"jquery,bootstrap,"
anferoar96,unal2,IH-Project-2017-anferoar96_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,"
StevenEsmar,unal2,IH-Project-2017-StevenEsmar_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
dcastanedar,unal2,IH-Project-2017-dcastanedar_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase4,Fri Nov 17 12:12:48 2017,1,4,"New York City Art Galleries, New York City Museums, Required Weather API, School Safety Report, ",1,1,1,1,1,1,1,1,"angular,jquery,bootstrap,"
DaveValencia,unal2,IH-Project-2017-DaveValencia_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
csalfonsol,unal2,IH-Project-2017-csalfonsol_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,animate,"
tres-xxx,unal2,IH-Project-2017-tres-xxx_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
buendiagon,unal2,IH-Project-2017-buendiagon_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
DSFarfanF,unal2,IH-Project-2017-DSFarfanF_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
jssanchezo,unal2,IH-Project-2017-jssanchezo_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
bsdiaza,unal2,IH-Project-2017-bsdiaza_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
casc3798,unal2,IH-Project-2017-casc3798_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,"
jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"Fire Department Directory for New York State, New York State Career Centers, School Safety Report, ",1,1,1,1,1,1,1,1,"d3,jquery,bootstrap,"
Anvido,unal2,IH-Project-2017-Anvido_webapp_phase4,Fri Nov 17 12:12:48 2017,1,5,"Fire Department Directory for New York State, New York City Art Galleries, New York City Museums, NYCHA Development Data Book, Required Weather API, ",1,1,1,1,1,1,1,1,"jquery,materialize,d3,"
Jufcardenasmo,unal2,IH-Project-2017-Jufcardenasmo_webapp_phase4,Fri Nov 17 12:12:48 2017,0,2,"New York City Art Galleries, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,d3,"
federgolo,unal2,IH-Project-2017-federgolo_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, Bicycle Routes Across New York State: Map, ",0,1,1,0,1,1,1,1,"d3,jquery,bootstrap,"
serbatero,unal2,IH-Project-2017-serbatero_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,1,"animate,d3,jquery,bootstrap,"
GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,1,"jquery,bootstrap,"
diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase4,Fri Nov 17 12:12:48 2017,1,4,"New York City Art Galleries, New York City Museums, New York City Population By Boroughs, Required Weather API, ",0,1,1,0,1,1,1,1,"jquery,bootstrap,"
adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase4,Fri Nov 17 12:12:48 2017,0,6,"Fire Department Directory for New York State, Zillow Home Value Searching API, New York State Career Centers, new york address points, New York City Museums, New York City Art Galleries, ",1,1,1,1,1,1,1,1,"font-awesome,bootstrap,jquery,d3,"
RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,
FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,1,"jquery,bootstrap,"
