username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"d3,angular,bootstrap,jquery,"
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"react,d3,jquery,"
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"d3,animate,bootstrap,jquery,"
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,"
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase5,Wed Nov 22 08:30:39 2017,1,5,"New York State Career Centers, NYCHA Development Data Book, Neighborhood Names GIS, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,"
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,"
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,"
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"ember,animate,font-awesome,"
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, New York neighborhood, ",1,1,1,0,1,1,1,1,"font-awesome,animate,"
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,0,
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase5,Wed Nov 22 08:30:39 2017,1,3,"Required Weather API, New York City Farmers Markets, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"materialize,animate,d3,jquery,"
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase5,Wed Nov 22 08:30:39 2017,1,5,"Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976, Neighborhood Tabulation Areas, Required Weather API, New York City Museums, Housing New York Units by Building, ",1,1,1,0,1,1,1,1,"bootstrap,three,react,d3,jquery,"
matson3,honors0,IH-Project-2017-matson3_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,d3,vue,"
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,"
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"d3,jquery,"
shivans,honors0,IH-Project-2017-shivans_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"polyfill,bootstrap,jquery,font-awesome,d3,foundation,ember,animate,"
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
hihms,honors0,IH-Project-2017-hihms_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Required Weather API, ",0,1,1,0,0,0,1,1,"bootstrap,d3,jquery,"
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase5,Wed Nov 22 08:30:39 2017,1,2,"Open.ny.gov API Catalog, Required Weather API, ",1,1,1,0,1,1,1,1,"materialize,react,d3,jquery,"
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,"
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
ko68,honors0,IH-Project-2017-ko68_webapp_phase5,Wed Nov 22 08:30:39 2017,1,4,"Required Weather API, New York City Leading Causes of Death, Zillow Home Value Searching API, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,"
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase5,Wed Nov 22 08:30:39 2017,1,8,"Air Quality, New York Safety, New York State Career Centers, New York neighborhood, New York City Museums, School Safety Report, New York City Farmers Markets, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,"
gshowal,honors0,IH-Project-2017-gshowal_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"d3,bootstrap,jquery,"
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase5,Wed Nov 22 08:30:39 2017,1,6,"New York City Art Galleries, Fire Department Directory for New York State, New York City Museums, Bank-Owned ATM Locations in New York State, Required Weather API, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,"
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase5,Wed Nov 22 08:30:39 2017,0,3,"NYCHA Development Data Book, NYC City Hall Library Catalog, New York City Museums, ",1,0,1,0,0,0,1,1,"d3,bootstrap,jquery,"
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,0,0,0,0,0,0,
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase5,Wed Nov 22 08:30:39 2017,0,2,"New York City Museums, Zillow Home Value Searching API, ",0,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,"
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,"
dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,"
SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,1,1,0,1,1,1,0,
DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase5,Wed Nov 22 08:30:39 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,"
olimita,unal0,IH-Project-2017-olimita_webapp_phase5,Wed Nov 22 08:30:39 2017,1,4,"Required Weather API, New York City Museums, New York Safety, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,"
yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,d3,jquery,"
Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase5,Wed Nov 22 08:30:39 2017,0,4,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, NYCHA Development Data Book, New York City Museums, ",0,1,1,0,0,0,1,1,"d3,bootstrap,jquery,"
Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,
Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,0,
vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
biherrerap,unal0,IH-Project-2017-biherrerap_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,"
bfprietoc,unal0,IH-Project-2017-bfprietoc_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
LauraMolina,unal0,IH-Project-2017-LauraMolina_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Fire Department Directory for New York State, ",0,1,1,0,0,0,1,1,"font-awesome,bootstrap,jquery,"
Acreed21,unal0,IH-Project-2017-Acreed21_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,"
Camiioo,unal0,IH-Project-2017-Camiioo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
frnkbs,unal0,IH-Project-2017-frnkbs_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"Housing New York Units by Building, ",1,1,1,0,0,0,1,1,"d3,bootstrap,"
Jfcastroh,unal0,IH-Project-2017-Jfcastroh_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
evilcucaracha,unal1,IH-Project-2017-evilcucaracha_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
JulianM96,unal1,IH-Project-2017-JulianM96_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,"
Saariasba,unal1,IH-Project-2017-Saariasba_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
tres-iqus,unal1,IH-Project-2017-tres-iqus_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,0,0,0,0,0,0,
cglaitong,unal1,IH-Project-2017-cglaitong_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, New York State Career Centers, Required Weather API, New York City Museums, NYCHA Development Data Book, New York City Locations Providing Seasonal Flu Vaccinations, Directory Of DCP Offices, ",1,1,1,0,1,1,1,1,"bootstrap,d3,jquery,"
DaniCastel,unal1,IH-Project-2017-DaniCastel_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York City Art Galleries, Bicycle Routes Across New York State: Map, New York City Museums, ",1,1,1,1,0,0,1,1,"d3,animate,bootstrap,jquery,"
BrandonAvilanR,unal1,IH-Project-2017-BrandonAvilanR_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
alejosaur,unal1,IH-Project-2017-alejosaur_webapp_phase5,Wed Nov 22 08:30:40 2017,1,6,"New York City Art Galleries, Bicycle Routes Across New York State: Map, Required Weather API, New York City Museums, New York City Locations Providing Seasonal Flu Vaccinations, Housing New York Units by Building, ",1,1,1,1,0,0,1,1,"bootstrap,animate,d3,jquery,"
jaasuarezvi,unal1,IH-Project-2017-jaasuarezvi_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
jdsolanos,unal1,IH-Project-2017-jdsolanos_webapp_phase5,Wed Nov 22 08:30:40 2017,0,2,"New York City Art Galleries, New York City Museums, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,"
DavidsMartinez,unal1,IH-Project-2017-DavidsMartinez_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
Biopeligro,unal1,IH-Project-2017-Biopeligro_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
garayf,unal1,IH-Project-2017-garayf_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York City Art Galleries, NYCHA Development Data Book, New York City Museums, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,"
jaleonro,unal1,IH-Project-2017-jaleonro_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,jquery,"
facuellarg,unal1,IH-Project-2017-facuellarg_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
Caadiazsi,unal1,IH-Project-2017-Caadiazsi_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
sebcamacho1703,unal1,IH-Project-2017-sebcamacho1703_webapp_phase5,Wed Nov 22 08:30:40 2017,0,5,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, Fire Department Directory for New York State, Alternative Fuel Stations in New York, ",1,1,1,0,0,0,1,1,"d3,bootstrap,jquery,"
xFortich,unal1,IH-Project-2017-xFortich_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York City Art Galleries, New York City Museums, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"animate,bootstrap,jquery,"
Gusgal03,unal1,IH-Project-2017-Gusgal03_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
Juankmilo97,unal1,IH-Project-2017-Juankmilo97_webapp_phase5,Wed Nov 22 08:30:40 2017,0,4,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, School Safety Report, ",0,1,1,0,0,0,1,1,"bootstrap,jquery,"
alebautis,unal1,IH-Project-2017-alebautis_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
sarguellesr,unal1,IH-Project-2017-sarguellesr_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
davideperdomo,unal1,IH-Project-2017-davideperdomo_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, Air Quality, Neighborhood Tabulation Areas, New York City Museums, NYCHA Development Data Book, Bank-Owned ATM Locations in New York State, Required Weather API, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,"
JamerMejiaGarcia,unal1,IH-Project-2017-JamerMejiaGarcia_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
nikolasto,unal1,IH-Project-2017-nikolasto_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
gahormigag,unal1,IH-Project-2017-gahormigag_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
ayperezc,unal1,IH-Project-2017-ayperezc_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
anferoar96,unal2,IH-Project-2017-anferoar96_webapp_phase5,Wed Nov 22 08:30:40 2017,0,1,"New York City Museums, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,"
StevenEsmar,unal2,IH-Project-2017-StevenEsmar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,1,1,1,0,
dcastanedar,unal2,IH-Project-2017-dcastanedar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
trickyjuggler,unal2,IH-Project-2017-trickyjuggler_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, Required Weather API, New York City Museums, School Safety Report, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,"
DaveValencia,unal2,IH-Project-2017-DaveValencia_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
csalfonsol,unal2,IH-Project-2017-csalfonsol_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,1,0,0,1,1,"animate,bootstrap,jquery,"
tres-xxx,unal2,IH-Project-2017-tres-xxx_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
buendiagon,unal2,IH-Project-2017-buendiagon_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
DSFarfanF,unal2,IH-Project-2017-DSFarfanF_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
jssanchezo,unal2,IH-Project-2017-jssanchezo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
bsdiaza,unal2,IH-Project-2017-bsdiaza_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
casc3798,unal2,IH-Project-2017-casc3798_webapp_phase5,Wed Nov 22 08:30:40 2017,0,6,"New York City Art Galleries, Bicycle Routes Across New York State: Map, Fire Department Directory for New York State, New York City Museums, Alternative Fuel Stations in New York, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"d3,animate,bootstrap,jquery,"
jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase5,Wed Nov 22 08:30:40 2017,0,3,"New York State Career Centers, Fire Department Directory for New York State, School Safety Report, ",1,1,1,1,1,1,1,1,"d3,bootstrap,jquery,"
Anvido,unal2,IH-Project-2017-Anvido_webapp_phase5,Wed Nov 22 08:30:40 2017,1,5,"Required Weather API, New York City Art Galleries, NYCHA Development Data Book, New York City Museums, Fire Department Directory for New York State, ",1,1,1,1,1,1,1,1,"materialize,d3,jquery,"
Jufcardenasmo,unal2,IH-Project-2017-Jufcardenasmo_webapp_phase5,Wed Nov 22 08:30:40 2017,0,2,"New York City Art Galleries, Zillow Home Value Searching API, ",1,1,1,0,0,0,1,1,"bootstrap,animate,d3,jquery,"
federgolo,unal2,IH-Project-2017-federgolo_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Locations Providing Seasonal Flu Vaccinations, NYCHA Development Data Book, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,d3,jquery,"
serbatero,unal2,IH-Project-2017-serbatero_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,"
GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase5,Wed Nov 22 08:30:40 2017,1,4,"New York City Art Galleries, New York City Population By Boroughs, Required Weather API, New York City Museums, ",0,1,1,0,1,1,1,1,"bootstrap,jquery,"
adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase5,Wed Nov 22 08:30:40 2017,1,2,"Required Weather API, new york address points, ",1,1,1,1,0,0,1,1,"d3,bootstrap,jquery,"
jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase5,Wed Nov 22 08:30:40 2017,1,7,"New York City Art Galleries, new york address points, Zillow Home Value Searching API, Fire Department Directory for New York State, New York State Career Centers, New York City Museums, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,d3,font-awesome,jquery,"
RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,0,0,1,0,0,0,1,0,
dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase5,Wed Nov 22 08:30:40 2017,0,0,,1,1,1,0,0,0,1,0,
FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase5,Wed Nov 22 08:30:40 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"bootstrap,jquery,"
